timestamp_s,x_m,y_m,z_m,qx,qy,qz,qw,vx_mps,vy_mps,vz_mps,wx_radps,wy_radps,wz_radps,cmd_v_mps,cmd_w_radps
0.02000000,7.82444429,2.22484589,-0.02860496,0.01377369,0.01912089,0.99756837,-0.06558950,-0.01585627,-0.00208533,0.00047982,0.00265959,0.00425536,0.10638397,0.01600000,0.10650226
0.04000000,7.82388926,2.22477198,-0.02858813,0.01379342,0.01910666,0.99750018,-0.06661915,-0.03170379,-0.00423610,0.00096204,0.00255157,0.00408254,0.10206329,0.03200000,0.10217678
0.06000000,7.82301760,2.22465420,-0.02856163,0.01381234,0.01909299,0.99743366,-0.06760751,-0.04754289,-0.00644835,0.00144650,0.00244988,0.00391983,0.09799573,0.04800000,0.09810469
0.08000000,7.82182932,2.22449112,-0.02852540,0.01383051,0.01907983,0.99736887,-0.06855699,-0.06337391,-0.00871843,0.00193308,0.00235413,0.00376662,0.09416539,0.06400000,0.09427010
0.10000000,7.82032442,2.22428203,-0.02847942,0.01384797,0.01906716,0.99730569,-0.06946985,-0.07919715,-0.01104298,0.00242164,0.00226393,0.00362231,0.09055772,0.08000000,0.09065841
0.12000000,7.81850338,2.22402549,-0.02842363,0.01386476,0.01905496,0.99724412,-0.07034823,-0.09501291,-0.01341891,0.00291207,0.00217897,0.00348638,0.08715931,0.09600000,0.08725622
0.14000000,7.81636572,2.22372079,-0.02835801,0.01388092,0.01904319,0.99718410,-0.07119411,-0.11082147,-0.01584336,0.00340426,0.00209894,0.00335832,0.08395784,0.11200000,0.08405118
0.16000000,7.81391239,2.22336698,-0.02828252,0.01389648,0.01903183,0.99712551,-0.07200939,-0.12662311,-0.01831371,0.00389811,0.00202354,0.00323768,0.08094199,0.12800001,0.08103199
0.18000000,7.81114292,2.22296309,-0.02819712,0.01391149,0.01902087,0.99706841,-0.07279585,-0.14241809,-0.02082753,0.00439354,0.00195253,0.00312406,0.07810137,0.14399999,0.07818822
0.20000000,7.80805779,2.22250819,-0.02810180,0.01392597,0.01901027,0.99701267,-0.07355515,-0.15820663,-0.02338262,0.00489046,0.00188565,0.00301706,0.07542645,0.16000000,0.07551032
0.22000000,7.80465698,2.22200179,-0.02799652,0.01393996,0.01900001,0.99695832,-0.07428890,-0.17398897,-0.02597692,0.00538878,0.00182270,0.00291634,0.07290845,0.17600000,0.07298952
0.24000000,7.80094051,2.22144270,-0.02788125,0.01395348,0.01899008,0.99690515,-0.07499862,-0.18976532,-0.02860859,0.00588846,0.00176348,0.00282158,0.07053937,0.19200000,0.07061780
