epoch,train_loss,validation_loss,validation_ADE_m,validation_FDE_m,encoder_lr,other_lr,epoch_wall_time_s,peak_vram_mib,checkpoint_status
1,0.19528593915834355,0.06888465709326898,,,4e-05,0.00011999999999999999,29.672533153992845,1261.783203125,last
2,0.04961714832418,0.03439384140074253,,,6e-05,0.00017999999999999998,32.60398498400173,1261.783203125,last
3,0.028455423841725534,0.021056519615847397,,,8e-05,0.00023999999999999998,29.55835100999684,1261.783203125,last
4,0.02093740581159494,0.019852108226212507,,,0.0001,0.0003,29.77526398700138,1261.783203125,last
5,0.017496165164760245,0.012084250194568406,0.20259239285439942,0.3550682215642091,9.999351124856874e-05,0.0002999805337457062,60.94372729001043,1261.783203125,best
6,0.012185508709178486,0.009332692596431384,,,9.997404667843075e-05,0.0002999221400352922,29.4532716889953,1261.783203125,last
7,0.009610178441142859,0.012545934392084531,,,9.994161134161634e-05,0.000299824834024849,28.015598346988554,1261.783203125,last
8,0.007568278596666989,0.011828435098697595,,,9.989621365671902e-05,0.000299688640970157,30.405244533001678,1261.783203125,last
9,0.006879203524023517,0.008695592816152117,,,9.983786540671051e-05,0.0002995135962201315,52.02460892000818,1261.783203125,last
10,0.006073956220035455,0.008373479612226434,0.14499548493878472,0.26698765878209796,9.976658173588244e-05,0.00029929974520764727,32.825593034009216,1261.783203125,best
11,0.00594445336575328,0.008376417044714531,,,9.968238114591566e-05,0.00029904714343774696,28.765325622007367,1261.783203125,last
12,0.006310445566508752,0.010728558884960982,,,9.95852854910781e-05,0.0002987558564732343,58.28793438700086,1261.783203125,last
13,0.00480618539419192,0.01015835817773169,,,9.947531997255256e-05,0.0002984259599176576,30.08818282801076,1261.783203125,last
14,0.004621616178956717,0.009168511164128123,,,9.935251313189564e-05,0.00029805753939568687,28.21573915000772,1261.783203125,last
15,0.004670742318492883,0.008244544770979486,0.13245759034575852,0.22592741686585432,9.921689684362989e-05,0.00029765069053088963,61.92451321201224,1261.783203125,best
16,0.0040664611651854065,0.007626342402278062,,,9.906850630697068e-05,0.000297205518920912,31.058907700993586,1261.783203125,last
17,0.0036894344189551784,0.007868411187219489,,,9.890738003669029e-05,0.0002967221401100708,27.45491711999057,1261.783203125,last
18,0.0034202797868316853,0.006871581418261699,,,9.87335598531214e-05,0.0002962006795593642,27.579105807002634,1261.783203125,last
19,0.003842771928514173,0.007733922511654194,,,9.85470908713026e-05,0.00029564127261390776,55.483225768999546,1261.783203125,last
20,0.0035690629281409417,0.006554767295122421,0.10875476437735403,0.2042711529877316,9.834802148926882e-05,0.0002950440644678064,34.82429168999079,1261.783203125,best
21,0.002889411858588791,0.007362074418137234,,,9.813640337548954e-05,0.00029440921012646856,28.614964138992946,1261.783203125,last
22,0.003970245331692606,0.008081326636088574,,,9.791229145545831e-05,0.0002937368743663749,30.891827221988933,1261.783203125,last
23,0.0033846897681229816,0.007685592966428136,,,9.767574389743682e-05,0.0002930272316923104,57.64068076899275,1261.783203125,last
24,0.0035379100625695134,0.008063436723793583,,,9.742682209735727e-05,0.00029228046629207175,28.632302486003027,1261.783203125,last
25,0.003432046331868354,0.00894837240476216,0.12308675786833538,0.20886013962183694,9.716559066288715e-05,0.0002914967719886614,31.98006068399991,1261.783203125,last
26,0.0029964362173827727,0.006674191024263992,,,9.689211739666023e-05,0.00029067635218998065,29.290368620990193,1261.783203125,last
27,0.0030186258899325977,0.007880427300252076,,,9.66064732786784e-05,0.00028981941983603516,34.05309423900326,1261.783203125,last
28,0.0030585723512097083,0.008458453869132106,,,9.630873244788883e-05,0.0002889261973436664,40.374371942001744,1261.783203125,last
29,0.002635223989430537,0.008736683924593414,,,9.599897218294122e-05,0.0002879969165488236,29.09351033400162,1261.783203125,last
30,0.0030350297112573883,0.008212903446880826,0.11514359293548626,0.2041103308339785,9.567727288213005e-05,0.0002870318186463901,43.24127381200378,1261.783203125,last
31,0.002743457638790636,0.006512382670360453,,,9.534371804252728e-05,0.0002860311541275818,51.64488396899833,1261.783203125,last
32,0.0023944630624670813,0.008556698620155016,,,9.49983942383106e-05,0.0002849951827149318,28.25753693601291,1261.783203125,last
33,0.002663021161109765,0.008769418556339052,,,9.464139109829321e-05,0.0002839241732948796,28.208405625991873,1261.783203125,last
34,0.002697190503179749,0.007062376002603046,,,9.42728012826605e-05,0.0002828184038479814,54.37100270399242,1261.783203125,last
35,0.003075773786725615,0.007696469326380312,0.11089155334327973,0.20909101449153028,9.389272045892024e-05,0.0002816781613767607,36.94045023599756,1261.783203125,last
36,0.0024614456688304112,0.00908159397487693,,,9.350124727707197e-05,0.00028050374183121585,27.644284162000986,1261.783203125,last
37,0.0029303533320468086,0.007560172898914008,,,9.309848334400246e-05,0.00027929545003200736,30.67158711500815,1261.783203125,last
38,0.0020505058803289796,0.009408082456930596,,,9.268453319711363e-05,0.0002780535995913408,52.888158072993974,1261.783203125,last
