timestamp_s,x_m,y_m,z_m,qx,qy,qz,qw,vx_mps,vy_mps,vz_mps,wx_radps,wy_radps,wz_radps,cmd_v_mps,cmd_w_radps
0.02000000,-0.30406743,-6.94628954,0.00000000,-0.00000000,0.00000000,-0.44563925,0.89521265,0.00964498,-0.01276614,0.00000000,0.00000000,0.00000000,0.17408104,0.01600000,0.17408104
0.04000000,-0.30372867,-6.94673538,0.00000000,-0.00000000,0.00000000,-0.44412783,0.89596343,0.01937603,-0.02546703,0.00000000,0.00000000,0.00000000,0.16702831,0.03200000,0.16702831
0.06000000,-0.30319408,-6.94743443,0.00000000,-0.00000000,0.00000000,-0.44267550,0.89668190,0.02918769,-0.03810615,0.00000000,0.00000000,0.00000000,0.16040160,0.04800000,0.16040160
0.08000000,-0.30246210,-6.94838524,0.00000000,-0.00000000,0.00000000,-0.44127876,0.89737010,0.03907495,-0.05068677,0.00000000,0.00000000,0.00000000,0.15417343,0.06400000,0.15417343
0.10000000,-0.30153131,-6.94958687,0.00000000,-0.00000000,0.00000000,-0.43993437,0.89802992,0.04903324,-0.06321187,0.00000000,0.00000000,0.00000000,0.14831872,0.08000000,0.14831872
0.12000000,-0.30040035,-6.95103836,0.00000000,-0.00000000,0.00000000,-0.43863922,0.89866322,0.05905836,-0.07568428,0.00000000,0.00000000,0.00000000,0.14281450,0.09600000,0.14281450
0.14000000,-0.29906794,-6.95273876,0.00000000,-0.00000000,0.00000000,-0.43739045,0.89927173,0.06914647,-0.08810656,0.00000000,0.00000000,0.00000000,0.13763981,0.11200000,0.13763981
0.16000000,-0.29753289,-6.95468616,0.00000000,-0.00000000,0.00000000,-0.43618527,0.89985687,0.07929406,-0.10048111,0.00000000,0.00000000,0.00000000,0.13277543,0.12800001,0.13277543
0.18000000,-0.29579401,-6.95688105,0.00000000,-0.00000000,0.00000000,-0.43502113,0.90042025,0.08949791,-0.11281013,0.00000000,0.00000000,0.00000000,0.12820384,0.14399999,0.12820384
0.20000000,-0.29385024,-6.95932150,0.00000000,-0.00000000,0.00000000,-0.43389556,0.90096319,0.09975509,-0.12509565,0.00000000,0.00000000,0.00000000,0.12390909,0.16000000,0.12390909
0.22000000,-0.29170060,-6.96200705,0.00000000,-0.00000000,0.00000000,-0.43280628,0.90148693,0.11006291,-0.13733956,0.00000000,0.00000000,0.00000000,0.11987662,0.17600000,0.11987662
0.24000000,-0.28934404,-6.96493721,0.00000000,-0.00000000,0.00000000,-0.43175101,0.90199280,0.12041897,-0.14954355,0.00000000,0.00000000,0.00000000,0.11609320,0.19200000,0.11609320
0.26000000,-0.28677970,-6.96811056,0.00000000,-0.00000000,0.00000000,-0.43072772,0.90248191,0.13082103,-0.16170917,0.00000000,0.00000000,0.00000000,0.11254693,0.20800000,0.11254693
0.28000000,-0.28400666,-6.97152662,0.00000000,-0.00000000,0.00000000,-0.42973432,0.90295535,0.14126712,-0.17383786,0.00000000,0.00000000,0.00000000,0.10922705,0.22400001,0.10922705
0.30000000,-0.28102404,-6.97518492,0.00000000,-0.00000000,0.00000000,-0.42876893,0.90341419,0.15175545,-0.18593085,0.00000000,0.00000000,0.00000000,0.10612398,0.23999999,0.10612398
0.32000000,-0.27783105,-6.97908449,0.00000000,-0.00000000,0.00000000,-0.42782971,0.90385938,0.16228442,-0.19798931,0.00000000,0.00000000,0.00000000,0.10322927,0.25600001,0.10322927
0.34000000,-0.27442688,-6.98322439,0.00000000,-0.00000000,0.00000000,-0.42691481,0.90429187,0.17285259,-0.21001424,0.00000000,0.00000000,0.00000000,0.10053556,0.27200001,0.10053556
0.36000000,-0.27081382,-6.98760748,0.00000000,-0.00000000,0.00000000,-0.42643872,0.90451646,0.18325441,-0.22217521,0.00000000,0.00000000,0.00000000,0.05225904,0.28799999,0.05225904
0.38000000,-0.26699245,-6.99223280,0.00000000,-0.00000000,0.00000000,-0.42597592,0.90473449,0.19367506,-0.23432022,0.00000000,0.00000000,0.00000000,0.05079974,0.30399999,0.05079974
0.40000000,-0.26296237,-6.99710131,0.00000000,-0.00000000,0.00000000,-0.42552561,0.90494639,0.20411389,-0.24644983,0.00000000,0.00000000,0.00000000,0.04943028,0.31999999,0.04943028
0.42000000,-0.25872329,-7.00221205,0.00000000,-0.00000000,0.00000000,-0.42508700,0.90515250,0.21457030,-0.25856447,0.00000000,0.00000000,0.00000000,0.04814760,0.33600000,0.04814760
0.44000000,-0.25427479,-7.00756502,0.00000000,-0.00000000,0.00000000,-0.42465931,0.90535325,0.22504377,-0.27066454,0.00000000,0.00000000,0.00000000,0.04694903,0.35200000,0.04694903
0.46000000,-0.24961658,-7.01315928,0.00000000,-0.00000000,0.00000000,-0.42424184,0.90554893,0.23553388,-0.28275040,0.00000000,0.00000000,0.00000000,0.04583231,0.36800000,0.04583231
0.48000000,-0.24474834,-7.01899576,0.00000000,-0.00000000,0.00000000,-0.42383388,0.90573996,0.24604021,-0.29482234,0.00000000,0.00000000,0.00000000,0.04479559,0.38400000,0.04479559
0.50000000,-0.23966971,-7.02507305,0.00000000,-0.00000000,0.00000000,-0.42343464,0.90592664,0.25656247,-0.30688059,0.00000000,0.00000000,0.00000000,0.04383742,0.40000001,0.04383742
0.52000000,-0.23438041,-7.03139114,0.00000000,-0.00000000,0.00000000,-0.42304349,0.90610939,0.26710045,-0.31892529,0.00000000,0.00000000,0.00000000,0.04295684,0.41600001,0.04295684
0.54000000,-0.22888012,-7.03795004,0.00000000,-0.00000000,0.00000000,-0.42265972,0.90628844,0.27765396,-0.33095661,0.00000000,0.00000000,0.00000000,0.04215334,0.43200001,0.04215334
0.56000000,-0.22316852,-7.04474974,0.00000000,-0.00000000,0.00000000,-0.42228264,0.90646422,0.28822294,-0.34297454,0.00000000,0.00000000,0.00000000,0.04142695,0.44800001,0.04142695
0.58000000,-0.21724533,-7.05178928,0.00000000,-0.00000000,0.00000000,-0.42191154,0.90663701,0.29880732,-0.35497913,0.00000000,0.00000000,0.00000000,0.04077829,0.46399999,0.04077829
0.60000000,-0.21111019,-7.05906868,0.00000000,-0.00000000,0.00000000,-0.42154571,0.90680712,0.30940723,-0.36697024,0.00000000,0.00000000,0.00000000,0.04020866,0.47999999,0.04020866
0.62000000,-0.20475468,-7.06658077,0.00000000,-0.00000000,0.00000000,-0.42020783,0.90742791,0.32083797,-0.37825784,0.00000000,0.00000000,0.00000000,0.25501734,0.49599999,0.25501734
0.64000000,-0.19815336,-7.07430410,0.00000000,-0.00000000,0.00000000,-0.41792199,0.90848291,0.33314940,-0.38878718,0.00000000,0.00000000,0.00000000,0.25071025,0.51200002,0.25071025
0.66000000,-0.19130456,-7.08223629,0.00000000,-0.00000000,0.00000000,-0.41566962,0.90951568,0.34554303,-0.39922929,0.00000000,0.00000000,0.00000000,0.24684767,0.52800000,0.24684767
0.68000000,-0.18420666,-7.09037638,0.00000000,-0.00000000,0.00000000,-0.41344678,0.91052830,0.35801920,-0.40958303,0.00000000,0.00000000,0.00000000,0.24343704,0.54400003,0.24343704
0.70000000,-0.17685799,-7.09872246,0.00000000,-0.00000000,0.00000000,-0.41124940,0.91152287,0.37057880,-0.41984683,0.00000000,0.00000000,0.00000000,0.24048989,0.56000000,0.24048989
0.72000000,-0.16925687,-7.10727167,0.00000000,-0.00000000,0.00000000,-0.40907326,0.91250151,0.38322324,-0.43001854,0.00000000,0.00000000,0.00000000,0.23802266,0.57599998,0.23802266
0.74000000,-0.16140154,-7.11602354,0.00000000,-0.00000000,0.00000000,-0.40691391,0.91346651,0.39595455,-0.44009542,0.00000000,0.00000000,0.00000000,0.23605751,0.59200001,0.23605751
0.76000000,-0.15329024,-7.12497520,0.00000000,-0.00000000,0.00000000,-0.40476662,0.91442001,0.40877542,-0.45007408,0.00000000,0.00000000,0.00000000,0.23462354,0.60799998,0.23462354
